iter	RMSE
0	0.05061099047
1	0.05018731859
2	0.04977155597
3	0.04935510182
4	0.04894351364
5	0.0485373176
6	0.04813469794
7	0.04773442926
8	0.04734144807
9	0.04695183215
10	0.04656882425
11	0.04618964769
12	0.04581609231
13	0.0454449669
14	0.04507915826
15	0.04471803274
16	0.04435761968
17	0.04400404566
18	0.04365603388
19	0.04330970189
20	0.04296761333
21	0.04263198674
22	0.04229810267
23	0.04196673253
24	0.04164208138
25	0.04132037833
26	0.04100158973
27	0.04068883967
28	0.0403785779
29	0.04007083579
30	0.03976838673
31	0.0394705646
32	0.0391756996
33	0.0388851169
34	0.03859643171
35	0.03831040167
36	0.0380298679
37	0.03774997731
38	0.03747470153
39	0.0372039036
40	0.0369360302
41	0.03666972456
42	0.03640841267
43	0.03615021602
44	0.03589558444
45	0.03564271103
46	0.03539477909
47	0.03514959934
48	0.03490494163
49	0.03466732882
50	0.0344300648
51	0.03419712052
52	0.03396566281
53	0.03373903328
54	0.03351626086
55	0.03329457009
56	0.03307490354
57	0.03285965392
58	0.03264709543
59	0.03243830533
60	0.03223180941
61	0.03202759923
62	0.03182641701
63	0.03162752048
64	0.03143063521
65	0.03123644637
66	0.03104497799
67	0.03085586771
68	0.03067007723
69	0.03048707397
70	0.03030687196
71	0.03012759464
72	0.0299522752
73	0.02977714489
74	0.02960434212
75	0.02943447618
76	0.02926764271
77	0.02910258524
78	0.02893994487
79	0.02877982813
80	0.02862008182
81	0.02846520296
82	0.02831271369
83	0.02816181844
84	0.02801214129
85	0.02786505462
86	0.02772079027
87	0.02757672205
88	0.02743367148
89	0.02729411424
90	0.02715818859
91	0.02702287091
92	0.02688919306
93	0.02675909537
94	0.02662806856
95	0.02650055657
96	0.02637422196
97	0.02624917932
98	0.02612568857
99	0.02600562235
100	0.02588731859
101	0.02577049223
102	0.02565717509
103	0.02554245872
104	0.02543082424
105	0.02532168275
106	0.0252129135
107	0.02510740049
108	0.02500348934
109	0.02490047325
110	0.02479881687
111	0.02469865546
112	0.02459945201
113	0.02450214342
114	0.02440651519
115	0.02431215199
116	0.0242193936
117	0.02412714317
118	0.02403633623
119	0.02394746427
120	0.02386043971
121	0.02377513788
122	0.02369000949
123	0.02360674103
124	0.02352420244
125	0.02344394253
126	0.02336474394
127	0.02328602935
128	0.02320926097
129	0.02313303808
130	0.02305782916
131	0.02298357442
132	0.02291126101
133	0.02283947811
134	0.02276985046
135	0.02270122645
136	0.02263376899
137	0.02256718654
138	0.02250201621
139	0.02243769752
140	0.02237448073
141	0.02231231702
142	0.0222509018
143	0.02219097447
144	0.02213253671
145	0.02207402897
146	0.02201718738
147	0.02196021175
148	0.02190430558
149	0.02184977055
150	0.0217961845
151	0.0217438641
152	0.02169175019
153	0.02164091545
154	0.02159016571
155	0.02154088531
156	0.02149169447
157	0.02144362385
158	0.02139624266
159	0.02135048902
160	0.02130465296
161	0.02125983681
162	0.0212157078
163	0.02117217379
164	0.02113015711
165	0.02108887606
166	0.02104751233
167	0.02100725239
168	0.02096828965
169	0.02092994781
170	0.02089158034
171	0.02085395282
172	0.02081692355
173	0.02077998998
174	0.02074426594
175	0.02070927825
176	0.02067456049
177	0.02064074825
178	0.02060778499
179	0.02057459674
180	0.02054292506
181	0.02051156501
182	0.02047962704
183	0.02044924609
184	0.02041905845
185	0.02038899834
186	0.02035971415
187	0.02033153632
188	0.02030340888
189	0.02027575812
190	0.02024800305
191	0.02022098803
192	0.02019476547
193	0.02016923519
194	0.0201437965
195	0.02011900244
196	0.02009491797
197	0.02007107078
198	0.02004769549
199	0.02002460383
200	0.02000155505
201	0.01997827691
202	0.01995680178
203	0.0199353536
204	0.01991406534
205	0.01989254024
206	0.01987217878
207	0.01985204033
208	0.01983227374
209	0.01981279529
210	0.01979369961
211	0.01977478963
212	0.0197563419
213	0.01973742338
214	0.01971996262
215	0.01970188824
216	0.01968369546
217	0.01966684482
218	0.01964974433
219	0.01963325303
220	0.01961739585
221	0.01960130056
222	0.01958582066
223	0.01957090972
224	0.01955550641
225	0.01954052971
226	0.01952616679
227	0.01951172109
228	0.0194975665
229	0.01948341841
230	0.01946957839
231	0.01945611482
232	0.01944345061
233	0.01942966629
234	0.01941731983
235	0.01940498217
236	0.01939293109
237	0.01938076555
238	0.01936889066
239	0.01935724335
240	0.01934615404
241	0.01933450805
242	0.0193231712
243	0.01931204967
244	0.0193012518
245	0.01929133697
246	0.01928103129
247	0.01927119994
248	0.01926093488
249	0.0192515998
250	0.01924205703
251	0.0192328988
252	0.01922373383
253	0.01921474871
254	0.01920563199
255	0.01919711118
256	0.01918861084
257	0.0191795035
258	0.01917103171
259	0.01916271608
260	0.01915502934
261	0.01914683567
262	0.01913892349
263	0.01913041392
264	0.01912283717
265	0.01911543682
